CRC Checker, Copyright 1988, Sydex.  All rights reserved

  FILE                                  CRC     LENGTH      DATE
  ====                                  ===     ======      ====
EGCPM01.DMK                            22022   1044496    10/ 3/21
EGCPM01.LOG                             8158      8799    10/ 3/21
EGCPM02.DMK                            64503   1044496    10/ 3/21
EGCPM02.LOG                             8158      8799    10/ 3/21
EGCPM03.DMK                            29493   1044496    10/ 3/21
EGCPM03.LOG                             8158      8799    10/ 3/21
EGCPM04.DMK                            27862   1044496    10/ 3/21
EGCPM04.LOG                             8158      8799    10/ 3/21
EGCPM05.DMK                             4926   1044496    10/ 3/21
EGCPM05.LOG                             8158      8799    10/ 3/21
EGCPM06.DMK                            52493   1044496    10/ 3/21
EGCPM06.LOG                             8158      8799    10/ 3/21
EGCPM07.DMK                            57544   1044496    10/ 3/21
EGCPM07.LOG                             8158      8799    10/ 3/21
EGCPM08.DMK                            64038   1044496    10/ 3/21
EGCPM08.LOG                            44276      8635    10/ 3/21
EGCPM09.DMK                            47515   1044496    10/ 3/21
EGCPM09.LOG                             8158      8799    10/ 3/21
EGCPM10.DMK                            44511   1044496    10/ 3/21
EGCPM10.LOG                            44276      8635    10/ 3/21
EGCPM11.DMK                            22142   1044496    10/ 4/21
EGCPM11.LOG                             8158      8799    10/ 4/21
EGCPM12.DMK                            27226   1044496    10/ 4/21
EGCPM12.LOG                             8158      8799    10/ 4/21
EGCPM13.DMK                            39649   1044496    10/ 4/21
EGCPM13.LOG                             8158      8799    10/ 4/21
EGCPM14.DMK                            12305   1044496    10/ 4/21
EGCPM14.LOG                             8158      8799    10/ 4/21
EGCPM15.DMK                            26563   1044496    10/ 4/21
EGCPM15.LOG                             8158      8799    10/ 4/21
EGCPM16.DMK                            30135   1044496    10/ 4/21
EGCPM16.LOG                             8158      8799    10/ 4/21
EGCPM17.DMK                            65198   1044496    10/ 4/21
EGCPM17.LOG                             8158      8799    10/ 4/21
EGCPM18.DMK                             4453   1044496    10/ 4/21
EGCPM18.LOG                             8158      8799    10/ 4/21
EGCPM19.DMK                            45957   1044496    10/ 4/21
EGCPM19.LOG                             8158      8799    10/ 4/21
EGCPM20.DMK                            34835   1044496    10/ 4/21
EGCPM20.LOG                             8158      8799    10/ 4/21
EGCPM21.DMK                            51329   1044496    10/ 5/21
EGCPM21.LOG                             8158      8799    10/ 5/21
EGCPM22.DMK                            21450   1044496    10/ 5/21
EGCPM22.LOG                             8158      8799    10/ 5/21
EGCPM23.DMK                            62312   1044496    10/ 5/21
EGCPM23.LOG                             8158      8799    10/ 5/21
EGCPM24.DMK                            59961   1044496    10/ 5/21
EGCPM24.LOG                             8158      8799    10/ 5/21
EGCPM25.DMK                            43277   1044496    10/ 5/21
EGCPM25.LOG                             8158      8799    10/ 5/21
EGCPM26.DMK                            50935   1044496    10/ 5/21
EGCPM26.LOG                             8158      8799    10/ 5/21
EGCPM27.DMK                            53316   1044496    10/ 5/21
EGCPM27.LOG                             8158      8799    10/ 5/21
EGCPM28.DMK                            51458   1044496    10/ 5/21
EGCPM28.LOG                             8158      8799    10/ 5/21
EGCPM29.DMK                            13348   1044496    10/ 5/21
EGCPM29.LOG                             8158      8799    10/ 5/21
EGCPM30.DMK                            34899   1044496    10/ 5/21
EGCPM30.LOG                            56492      8797    10/ 5/21
EGCPM31.DMK                            22610   1044496    10/ 5/21
EGCPM31.LOG                             8158      8799    10/ 5/21
EGCPM32.DMK                            62840   1044496    10/ 5/21
EGCPM32.LOG                             8158      8799    10/ 5/21
EGCPM33.DMK                            41356   1044496    10/ 5/21
EGCPM33.LOG                             8158      8799    10/ 5/21
EGCPM34.DMK                            24579   1044496    10/ 5/21
EGCPM34.LOG                             8158      8799    10/ 5/21
EGCPM35.DMK                            43403   1044496    10/ 5/21
EGCPM35.LOG                            44276      8635    10/ 5/21
EGCPM36.DMK                            12420   1044496    10/ 5/21
EGCPM36.LOG                            44276      8635    10/ 5/21
EGCPM38.DMK                            24934   1044496    10/ 5/21
EGCPM38.LOG                            44276      8635    10/ 5/21

