cw2dmk 4.5
Failed to detect Catweasel MK3/4 on PCI bus; looking for MK1 on ISA bus at 0x320
Detected Catweasel MK1 at port 0x320
Looking for drive 0...not detected
Looking for drive 1...detected
Detected side 1 formatted
Trying 2 sides, 80 tracks/side, double stepping, autodetect encoding
Track 0,side 0,pass 1: 5 good sectors, 0 errors
Track 0,side 1,pass 1: 10 good sectors, 0 errors
Track 1,side 0,pass 1:[single-stepping apparently needed; restarting]
Trying 2 sides, 80 tracks/side, single stepping, autodetect encoding
Track 0,side 0,pass 1: 5 good sectors, 0 errors
Track 0,side 1,pass 1: 10 good sectors, 0 errors
Track 1,side 0,pass 1: 10 good sectors, 0 errors
Track 1,side 1,pass 1: 10 good sectors, 0 errors
Track 2,side 0,pass 1: 10 good sectors, 0 errors
Track 2,side 1,pass 1: 10 good sectors, 0 errors
Track 3,side 0,pass 1: 10 good sectors, 0 errors
Track 3,side 1,pass 1: 10 good sectors, 0 errors
Track 4,side 0,pass 1: 10 good sectors, 0 errors
Track 4,side 1,pass 1: 10 good sectors, 0 errors
Track 5,side 0,pass 1: 10 good sectors, 0 errors
Track 5,side 1,pass 1: 10 good sectors, 0 errors
Track 6,side 0,pass 1: 10 good sectors, 0 errors
Track 6,side 1,pass 1: 10 good sectors, 0 errors
Track 7,side 0,pass 1: 10 good sectors, 0 errors
Track 7,side 1,pass 1: 10 good sectors, 0 errors
Track 8,side 0,pass 1: 10 good sectors, 0 errors
Track 8,side 1,pass 1: 10 good sectors, 0 errors
Track 9,side 0,pass 1: 10 good sectors, 0 errors
Track 9,side 1,pass 1: 10 good sectors, 0 errors
Track 10,side 0,pass 1: 10 good sectors, 0 errors
Track 10,side 1,pass 1: 10 good sectors, 0 errors
Track 11,side 0,pass 1: 10 good sectors, 0 errors
Track 11,side 1,pass 1: 10 good sectors, 0 errors
Track 12,side 0,pass 1: 10 good sectors, 0 errors
Track 12,side 1,pass 1: 10 good sectors, 0 errors
Track 13,side 0,pass 1: 10 good sectors, 0 errors
Track 13,side 1,pass 1: 10 good sectors, 0 errors
Track 14,side 0,pass 1: 10 good sectors, 0 errors
Track 14,side 1,pass 1: 10 good sectors, 0 errors
Track 15,side 0,pass 1: 10 good sectors, 0 errors
Track 15,side 1,pass 1: 10 good sectors, 0 errors
Track 16,side 0,pass 1: 10 good sectors, 0 errors
Track 16,side 1,pass 1: 10 good sectors, 0 errors
Track 17,side 0,pass 1: 10 good sectors, 0 errors
Track 17,side 1,pass 1: 10 good sectors, 0 errors
Track 18,side 0,pass 1: 10 good sectors, 0 errors
Track 18,side 1,pass 1: 10 good sectors, 0 errors
Track 19,side 0,pass 1: 10 good sectors, 0 errors
Track 19,side 1,pass 1: 10 good sectors, 0 errors
Track 20,side 0,pass 1: 10 good sectors, 0 errors
Track 20,side 1,pass 1: 10 good sectors, 0 errors
Track 21,side 0,pass 1: 10 good sectors, 0 errors
Track 21,side 1,pass 1: 10 good sectors, 0 errors
Track 22,side 0,pass 1: 10 good sectors, 0 errors
Track 22,side 1,pass 1: 10 good sectors, 0 errors
Track 23,side 0,pass 1: 10 good sectors, 0 errors
Track 23,side 1,pass 1: 10 good sectors, 0 errors
Track 24,side 0,pass 1: 10 good sectors, 0 errors
Track 24,side 1,pass 1: 10 good sectors, 0 errors
Track 25,side 0,pass 1: 10 good sectors, 0 errors
Track 25,side 1,pass 1: 10 good sectors, 0 errors
Track 26,side 0,pass 1: 10 good sectors, 0 errors
Track 26,side 1,pass 1: 10 good sectors, 0 errors
Track 27,side 0,pass 1: 10 good sectors, 0 errors
Track 27,side 1,pass 1: 10 good sectors, 0 errors
Track 28,side 0,pass 1: 10 good sectors, 0 errors
Track 28,side 1,pass 1: 10 good sectors, 0 errors
Track 29,side 0,pass 1: 10 good sectors, 0 errors
Track 29,side 1,pass 1: 10 good sectors, 0 errors
Track 30,side 0,pass 1: 10 good sectors, 0 errors
Track 30,side 1,pass 1: 10 good sectors, 0 errors
Track 31,side 0,pass 1: 10 good sectors, 0 errors
Track 31,side 1,pass 1: 10 good sectors, 0 errors
Track 32,side 0,pass 1: 10 good sectors, 0 errors
Track 32,side 1,pass 1: 10 good sectors, 0 errors
Track 33,side 0,pass 1: 10 good sectors, 0 errors
Track 33,side 1,pass 1: 10 good sectors, 0 errors
Track 34,side 0,pass 1: 10 good sectors, 0 errors
Track 34,side 1,pass 1: 10 good sectors, 0 errors
Track 35,side 0,pass 1: 10 good sectors, 0 errors
Track 35,side 1,pass 1: 10 good sectors, 0 errors
Track 36,side 0,pass 1: 10 good sectors, 0 errors
Track 36,side 1,pass 1: 10 good sectors, 0 errors
Track 37,side 0,pass 1: 10 good sectors, 0 errors
Track 37,side 1,pass 1: 10 good sectors, 0 errors
Track 38,side 0,pass 1: 10 good sectors, 0 errors
Track 38,side 1,pass 1: 10 good sectors, 0 errors
Track 39,side 0,pass 1: 10 good sectors, 0 errors
Track 39,side 1,pass 1: 10 good sectors, 0 errors
Track 40,side 0,pass 1: 10 good sectors, 0 errors
Track 40,side 1,pass 1: 10 good sectors, 0 errors
Track 41,side 0,pass 1: 10 good sectors, 0 errors
Track 41,side 1,pass 1: 10 good sectors, 0 errors
Track 42,side 0,pass 1: 10 good sectors, 0 errors
Track 42,side 1,pass 1: 10 good sectors, 0 errors
Track 43,side 0,pass 1: 10 good sectors, 0 errors
Track 43,side 1,pass 1: 10 good sectors, 0 errors
Track 44,side 0,pass 1: 10 good sectors, 0 errors
Track 44,side 1,pass 1: 10 good sectors, 0 errors
Track 45,side 0,pass 1: 10 good sectors, 0 errors
Track 45,side 1,pass 1: 10 good sectors, 0 errors
Track 46,side 0,pass 1: 10 good sectors, 0 errors
Track 46,side 1,pass 1: 10 good sectors, 0 errors
Track 47,side 0,pass 1: 10 good sectors, 0 errors
Track 47,side 1,pass 1: 10 good sectors, 0 errors
Track 48,side 0,pass 1: 10 good sectors, 0 errors
Track 48,side 1,pass 1: 10 good sectors, 0 errors
Track 49,side 0,pass 1: 10 good sectors, 0 errors
Track 49,side 1,pass 1: 10 good sectors, 0 errors
Track 50,side 0,pass 1: 10 good sectors, 0 errors
Track 50,side 1,pass 1: 10 good sectors, 0 errors
Track 51,side 0,pass 1: 10 good sectors, 0 errors
Track 51,side 1,pass 1: 10 good sectors, 0 errors
Track 52,side 0,pass 1: 10 good sectors, 0 errors
Track 52,side 1,pass 1: 10 good sectors, 0 errors
Track 53,side 0,pass 1: 10 good sectors, 0 errors
Track 53,side 1,pass 1: 10 good sectors, 0 errors
Track 54,side 0,pass 1: 10 good sectors, 0 errors
Track 54,side 1,pass 1: 10 good sectors, 0 errors
Track 55,side 0,pass 1: 10 good sectors, 0 errors
Track 55,side 1,pass 1: 10 good sectors, 0 errors
Track 56,side 0,pass 1: 10 good sectors, 0 errors
Track 56,side 1,pass 1: 10 good sectors, 0 errors
Track 57,side 0,pass 1: 10 good sectors, 0 errors
Track 57,side 1,pass 1: 10 good sectors, 0 errors
Track 58,side 0,pass 1: 10 good sectors, 0 errors
Track 58,side 1,pass 1: 10 good sectors, 0 errors
Track 59,side 0,pass 1: 10 good sectors, 0 errors
Track 59,side 1,pass 1: 10 good sectors, 0 errors
Track 60,side 0,pass 1: 10 good sectors, 0 errors
Track 60,side 1,pass 1: 10 good sectors, 0 errors
Track 61,side 0,pass 1: 10 good sectors, 0 errors
Track 61,side 1,pass 1: 10 good sectors, 0 errors
Track 62,side 0,pass 1: 10 good sectors, 0 errors
Track 62,side 1,pass 1: 10 good sectors, 0 errors
Track 63,side 0,pass 1: 10 good sectors, 0 errors
Track 63,side 1,pass 1: 10 good sectors, 0 errors
Track 64,side 0,pass 1: 10 good sectors, 0 errors
Track 64,side 1,pass 1: 10 good sectors, 0 errors
Track 65,side 0,pass 1: 10 good sectors, 0 errors
Track 65,side 1,pass 1: 10 good sectors, 0 errors
Track 66,side 0,pass 1: 10 good sectors, 0 errors
Track 66,side 1,pass 1: 10 good sectors, 0 errors
Track 67,side 0,pass 1: 10 good sectors, 0 errors
Track 67,side 1,pass 1: 10 good sectors, 0 errors
Track 68,side 0,pass 1: 10 good sectors, 0 errors
Track 68,side 1,pass 1: 10 good sectors, 0 errors
Track 69,side 0,pass 1: 10 good sectors, 0 errors
Track 69,side 1,pass 1: 10 good sectors, 0 errors
Track 70,side 0,pass 1: 10 good sectors, 0 errors
Track 70,side 1,pass 1: 10 good sectors, 0 errors
Track 71,side 0,pass 1: 10 good sectors, 0 errors
Track 71,side 1,pass 1: 10 good sectors, 0 errors
Track 72,side 0,pass 1: 10 good sectors, 0 errors
Track 72,side 1,pass 1: 10 good sectors, 0 errors
Track 73,side 0,pass 1: 10 good sectors, 0 errors
Track 73,side 1,pass 1: 10 good sectors, 0 errors
Track 74,side 0,pass 1: 10 good sectors, 0 errors
Track 74,side 1,pass 1: 10 good sectors, 0 errors
Track 75,side 0,pass 1: 10 good sectors, 0 errors
Track 75,side 1,pass 1: 10 good sectors, 0 errors
Track 76,side 0,pass 1: 10 good sectors, 0 errors
Track 76,side 1,pass 1: 10 good sectors, 0 errors
Track 77,side 0,pass 1: 10 good sectors, 0 errors
Track 77,side 1,pass 1: 10 good sectors, 0 errors
Track 78,side 0,pass 1: 10 good sectors, 0 errors
Track 78,side 1,pass 1: 10 good sectors, 0 errors
Track 79,side 0,pass 1: 10 good sectors, 0 errors
Track 79,side 1,pass 1: 10 good sectors, 0 errors

Totals:
160 good tracks, 1595 good sectors (0 FM + 1595 MFM + 0 RX02)
0 bad tracks, 0 unrecovered errors, 0 retries
