CRC Checker, Copyright 1988, Sydex.  All rights reserved

  FILE                                  CRC     LENGTH      DATE
  ====                                  ===     ======      ====
EGCPM01.IMD                            54590    766115    10/ 3/21
EGCPM02.IMD                             5649    551973    10/ 3/21
EGCPM03.IMD                            23699    437495    10/ 3/21
EGCPM04.IMD                            41750    555037    10/ 3/21
EGCPM05.IMD                            49610    613335    10/ 3/21
EGCPM06.IMD                            58908    767080    10/ 3/21
EGCPM07.IMD                            58008    570334    10/ 3/21
EGCPM08.IMD                            63726    611987    10/ 3/21
EGCPM09.IMD                            40036    787517    10/ 3/21
EGCPM10.IMD                            51362    615032    10/ 3/21
EGCPM01.LOG                             1703       297    10/ 3/21
EGCPM01.BIN                            51265    819200    10/ 3/21
EGCPM01.TXT                            47391       661    10/ 3/21
EGCPM02.LOG                            13924       263    10/ 3/21
EGCPM02.BIN                            18847    819200    10/ 3/21
EGCPM02.TXT                            64929       627    10/ 3/21
EGCPM03.LOG                            32017       249    10/ 3/21
EGCPM03.BIN                             6281    819200    10/ 3/21
EGCPM03.TXT                            31794       613    10/ 3/21
EGCPM04.LOG                            14487       261    10/ 3/21
EGCPM04.BIN                            27610    819200    10/ 3/21
EGCPM04.TXT                            45732       625    10/ 3/21
EGCPM05.LOG                             9626       305    10/ 3/21
EGCPM05.BIN                            50442    819200    10/ 3/21
EGCPM05.TXT                            45203       669    10/ 3/21
EGCPM06.LOG                            11786       238    10/ 3/21
EGCPM06.BIN                            47289    819200    10/ 3/21
EGCPM06.TXT                            49117       602    10/ 3/21
EGCPM07.LOG                            58624       226    10/ 3/21
EGCPM07.BIN                            34414    819200    10/ 3/21
EGCPM07.TXT                            51281       590    10/ 3/21
EGCPM08.LOG                             1597       249    10/ 3/21
EGCPM08.BIN                            23649    819200    10/ 3/21
EGCPM08.TXT                            35499       614    10/ 3/21
EGCPM09.LOG                            21813       234    10/ 3/21
EGCPM09.BIN                            42820    819200    10/ 3/21
EGCPM09.TXT                            16395       599    10/ 3/21
EGCPM10.LOG                            13397       225    10/ 3/21
